class_id,delta,hypothesis_weight,label,p_full,p_shared_only,p_shared_plus_unique,rank,sample_idx
71,0.01140403002500534,0.20000000298023224,kuvasz,0.1253930628299713,0.0734815001487732,0.08488553017377853,0,0
106,0.0015540942549705505,0.20000000298023224,Samoyed,0.08525411039590836,0.12454506009817123,0.12609915435314178,1,0
105,0.00462225079536438,0.20000000298023224,Great Pyrenees,0.060343146324157715,0.05105806887149811,0.05568031966686249,2,0
18,0.005813227966427803,0.20000000298023224,borzoi,0.05288650467991829,0.02911115624010563,0.03492438420653343,3,0
77,0.006779395043849945,0.20000000298023224,komondor,0.045734506100416183,0.0348348394036293,0.04161423444747925,4,0
87,0.04325424134731293,0.20000000298023224,Greater Swiss Mountain dog,0.17016690969467163,0.14342732727527618,0.1866815686225891,0,1
89,0.028846845030784607,0.20000000298023224,Appenzeller,0.1431545615196228,0.14977602660655975,0.17862287163734436,1,1
90,0.01795816421508789,0.20000000298023224,EntleBucher,0.07458090037107468,0.0655377134680748,0.08349587768316269,2,1
13,0.007499806582927704,0.20000000298023224,bluetick,0.060990553349256516,0.06921201944351196,0.07671182602643967,3,1
110,0.007937181740999222,0.20000000298023224,Brabancon griffon,0.04417600482702255,0.050285208970308304,0.058222390711307526,4,1
86,0.017472833395004272,0.20000000298023224,miniature pinscher,0.1518869698047638,0.11308149993419647,0.13055433332920074,0,2
76,0.01773693412542343,0.20000000298023224,kelpie,0.13007599115371704,0.08275113999843597,0.1004880741238594,1,2
7,0.016086909919977188,0.20000000298023224,toy terrier,0.08162546902894974,0.051135558634996414,0.0672224685549736,2,2
85,0.01100005954504013,0.20000000298023224,Doberman,0.0677177757024765,0.052018165588378906,0.06301822513341904,3,2
74,0.0035433098673820496,0.20000000298023224,malinois,0.03234909102320671,0.03093745931982994,0.03448076918721199,4,2
26,0.005455106496810913,0.20000000298023224,Scottish deerhound,0.06376271694898605,0.024610215798020363,0.030065322294831276,0,3
71,0.0018711462616920471,0.20000000298023224,kuvasz,0.05836096033453941,0.039835453033447266,0.04170659929513931,1,3
104,0.0009837597608566284,0.20000000298023224,Newfoundland,0.05080472305417061,0.03590642288327217,0.0368901826441288,2,3
25,0.0020021600648760796,0.20000000298023224,Saluki,0.04925345256924629,0.01182335801422596,0.01382551807910204,3,3
19,0.003878524526953697,0.20000000298023224,Irish wolfhound,0.0475715696811676,0.02002607472240925,0.023904599249362946,4,3
