delta_margin_logit,delta_margin_prob,k_class_id,k_label,k_rank,l_class_id,l_label,l_rank,sample_idx,shared_only_margin_logit,shared_only_margin_prob,shared_plus_unique_margin_logit,shared_plus_unique_margin_prob
0.00038720667362213135,6.334483623504639e-05,8,8,0,3,3,1,0,0.1548881083726883,0.02104143798351288,0.15527531504631042,0.021104782819747925
0.0004201233386993408,7.209926843643188e-05,8,8,0,9,9,2,0,0.2967011034488678,0.03764783591032028,0.29712122678756714,0.037719935178756714
0.0007829964160919189,0.00011111050844192505,8,8,0,7,7,3,0,0.3577425479888916,0.04410196840763092,0.3585255444049835,0.044213078916072845
0.0009699165821075439,0.00012698769569396973,8,8,0,1,1,4,0,0.48324477672576904,0.05619610846042633,0.4842146933078766,0.0563230961561203
-0.00044061243534088135,-6.809830665588379e-05,3,3,1,8,8,0,0,-0.1548881083726883,-0.02104143798351288,-0.15532872080802917,-0.021109536290168762
-0.0003116726875305176,-3.123283386230469e-05,3,3,1,9,9,2,0,0.1418129950761795,0.016606397926807404,0.141501322388649,0.0165751650929451
0.00023162364959716797,2.755969762802124e-05,3,3,1,7,7,3,0,0.2028544545173645,0.023060530424118042,0.20308607816696167,0.023088090121746063
0.0003319382667541504,3.583729267120361e-05,3,3,1,1,1,4,0,0.32835668325424194,0.03515467047691345,0.3286886215209961,0.035190507769584656
-0.00033083558082580566,-6.525963544845581e-05,9,9,2,8,8,0,0,-0.2967011034488678,-0.03764783591032028,-0.2970319390296936,-0.03771309554576874
-5.424022674560547e-06,-8.054077625274658e-06,9,9,2,3,3,1,0,-0.1418129950761795,-0.016606397926807404,-0.14181841909885406,-0.016614452004432678
0.0009025409817695618,9.542703628540039e-05,9,9,2,7,7,3,0,0.0610414519906044,0.006454132497310638,0.06194399297237396,0.006549559533596039
0.0007074326276779175,7.224828004837036e-05,9,9,2,1,1,4,0,0.18654367327690125,0.01854827255010605,0.18725110590457916,0.01862052083015442
-0.00013184547424316406,-1.9982457160949707e-05,7,7,3,8,8,0,0,-0.3577425479888916,-0.04410196840763092,-0.35787439346313477,-0.04412195086479187
-1.4379620552062988e-05,-2.1457672119140625e-06,7,7,3,3,3,1,0,-0.2028544545173645,-0.023060530424118042,-0.20286883413791656,-0.023062676191329956
-3.05958092212677e-05,-3.4347176551818848e-06,7,7,3,9,9,2,0,-0.0610414519906044,-0.006454132497310638,-0.06107204779982567,-0.00645756721496582
2.5853514671325684e-05,2.518296241760254e-06,7,7,3,1,1,4,0,0.12550221383571625,0.01209414005279541,0.12552806735038757,0.01209665834903717
-0.0011941492557525635,-0.00015477091073989868,1,1,4,8,8,0,0,-0.48324477672576904,-0.05619610846042633,-0.4844389259815216,-0.05635087937116623
-0.0008758008480072021,-9.726732969284058e-05,1,1,4,3,3,1,0,-0.32835668325424194,-0.03515467047691345,-0.32923248410224915,-0.03525193780660629
-0.0005090981721878052,-4.875659942626953e-05,1,1,4,9,9,2,0,-0.18654367327690125,-0.01854827255010605,-0.18705277144908905,-0.018597029149532318
-3.026425838470459e-05,1.2740492820739746e-06,1,1,4,7,7,3,0,-0.12550221383571625,-0.01209414005279541,-0.12553247809410095,-0.012092866003513336
