delta_margin_logit,delta_margin_prob,k_class_id,k_label,k_rank,l_class_id,l_label,l_rank,sample_idx,shared_only_margin_logit,shared_only_margin_prob,shared_plus_unique_margin_logit,shared_plus_unique_margin_prob
0.14230823516845703,0.011159464716911316,71,kuvasz,0,106,Samoyed,1,0,-0.5276339054107666,-0.05106355994939804,-0.38532567024230957,-0.039904095232486725
0.058147549629211426,0.006811879575252533,71,kuvasz,0,105,Great Pyrenees,2,0,0.3640700578689575,0.022423431277275085,0.42221760749816895,0.02923531085252762
0.022374629974365234,0.007630176842212677,71,kuvasz,0,18,borzoi,3,0,0.9259121417999268,0.044370345771312714,0.948286771774292,0.05200052261352539
0.007869720458984375,0.006313245743513107,71,kuvasz,0,77,komondor,4,0,0.7464156150817871,0.03864666074514389,0.7542853355407715,0.044959906488657
-0.15953302383422852,-0.012230992317199707,106,Samoyed,1,71,kuvasz,0,0,0.5276339054107666,0.05106355994939804,0.3681008815765381,0.038832567632198334
-0.09048402309417725,-0.003978759050369263,106,Samoyed,1,105,Great Pyrenees,2,0,0.8917039632797241,0.07348699122667313,0.8012199401855469,0.06950823217630386
-0.11695337295532227,-0.002465963363647461,106,Samoyed,1,18,borzoi,3,0,1.4535460472106934,0.09543390572071075,1.336592674255371,0.0929679423570633
-0.12681794166564941,-0.003649383783340454,106,Samoyed,1,77,komondor,4,0,1.2740495204925537,0.08971022069454193,1.1472315788269043,0.08606083691120148
-0.06494855880737305,-0.007407285273075104,105,Great Pyrenees,2,71,kuvasz,0,0,-0.3640700578689575,-0.022423431277275085,-0.42901861667633057,-0.02983071655035019
0.08615326881408691,0.004558727145195007,105,Great Pyrenees,2,106,Samoyed,1,0,-0.8917039632797241,-0.07348699122667313,-0.8055506944656372,-0.06892826408147812
-0.030461907386779785,0.001004895195364952,105,Great Pyrenees,2,18,borzoi,3,0,0.5618420839309692,0.02194691263139248,0.5313801765441895,0.02295180782675743
-0.04947865009307861,-0.0004582144320011139,105,Great Pyrenees,2,77,komondor,4,0,0.3823455572128296,0.016223229467868805,0.332866907119751,0.01576501503586769
0.07767558097839355,-0.002272028475999832,18,borzoi,3,71,kuvasz,0,0,-0.9259121417999268,-0.044370345771312714,-0.8482365608215332,-0.046642374247312546
0.1749863624572754,0.004928663372993469,18,borzoi,3,106,Samoyed,1,0,-1.4535460472106934,-0.09543390572071075,-1.278559684753418,-0.09050524234771729
0.11184334754943848,0.0020990315824747086,18,borzoi,3,105,Great Pyrenees,2,0,-0.5618420839309692,-0.02194691263139248,-0.44999873638153076,-0.01984788104891777
0.13134634494781494,0.00400092639029026,18,borzoi,3,77,komondor,4,0,-0.17949652671813965,-0.005723683163523674,-0.04815018177032471,-0.0017227567732334137
0.011021971702575684,-0.006559006869792938,77,komondor,4,71,kuvasz,0,0,-0.7464156150817871,-0.03864666074514389,-0.7353936433792114,-0.04520566761493683
0.19383347034454346,0.008757397532463074,77,komondor,4,106,Samoyed,1,0,-1.2740495204925537,-0.08971022069454193,-1.0802160501480103,-0.08095282316207886
0.08468341827392578,0.0017952993512153625,77,komondor,4,105,Great Pyrenees,2,0,-0.3823455572128296,-0.016223229467868805,-0.2976621389389038,-0.014427930116653442
0.07178568840026855,0.0035228822380304337,77,komondor,4,18,borzoi,3,0,0.17949652671813965,0.005723683163523674,0.2512822151184082,0.009246565401554108
0.06614136695861816,0.010562136769294739,87,Greater Swiss Mountain dog,0,89,Appenzeller,1,1,-0.04331254959106445,-0.006348699331283569,0.02282881736755371,0.004213437438011169
0.0171433687210083,0.024939551949501038,87,Greater Swiss Mountain dog,0,90,EntleBucher,2,1,0.7832027673721313,0.07788961380720139,0.8003461360931396,0.10282916575670242
0.16002154350280762,0.035702794790267944,87,Greater Swiss Mountain dog,0,13,bluetick,3,1,0.7286539077758789,0.07421530783176422,0.8886754512786865,0.10991810262203217
0.5525767803192139,0.05587524175643921,87,Greater Swiss Mountain dog,0,110,Brabancon griffon,4,1,1.0481175184249878,0.09314212203025818,1.6006942987442017,0.1490173637866974
-0.05359077453613281,-0.00819408893585205,89,Appenzeller,1,87,Greater Swiss Mountain dog,0,1,0.04331254959106445,0.006348699331283569,-0.01027822494506836,-0.0018453896045684814
-0.03729093074798584,0.013254597783088684,89,Appenzeller,1,90,EntleBucher,2,1,0.8265153169631958,0.08423831313848495,0.78922438621521,0.09749291092157364
0.08298349380493164,0.02208976447582245,89,Appenzeller,1,13,bluetick,3,1,0.7719664573669434,0.08056400716304779,0.854949951171875,0.10265377163887024
0.4039822816848755,0.03909263014793396,89,Appenzeller,1,110,Brabancon griffon,4,1,1.0914300680160522,0.09949082136154175,1.4954123497009277,0.1385834515094757
-0.010579228401184082,-0.023286134004592896,90,EntleBucher,2,87,Greater Swiss Mountain dog,0,1,-0.7832027673721313,-0.07788961380720139,-0.7937819957733154,-0.10117574781179428
0.05324685573577881,-0.013187751173973083,90,EntleBucher,2,89,Appenzeller,1,1,-0.8265153169631958,-0.08423831313848495,-0.773268461227417,-0.09742606431245804
