class_id,delta,hypothesis_weight,label,p_full,p_shared_only,p_shared_plus_unique,rank,sample_idx
6,0.45134955644607544,0.20000000298023224,papillon,0.9997854828834534,0.46454280614852905,0.9158923625946045,0,0
81,0.007007166743278503,0.20000000298023224,Border collie,0.0002044648863375187,0.0988476499915123,0.1058548167347908,1,0
79,0.0009220167994499207,0.20000000298023224,Shetland sheepdog,4.609942152455915e-06,0.011736988089978695,0.012659004889428616,2,0
80,0.020351141691207886,0.20000000298023224,collie,3.6056433145859046e-06,0.42482417821884155,0.44517531991004944,3,0
7,3.371636481119822e-08,0.20000000298023224,toy terrier,7.326858622036525e-07,3.053918007367429e-08,6.42555448848725e-08,4,0
86,0.0001334547996520996,0.20000000298023224,miniature pinscher,0.9998339414596558,0.9997580647468567,0.9998915195465088,0,1
76,0.0001512518647359684,0.20000000298023224,kelpie,0.0001530283479951322,0.0001339154114248231,0.0002851672761607915,1,1
85,2.7234083972871304e-05,0.20000000298023224,Doberman,7.049104169709608e-06,5.560225690715015e-05,8.283634088002145e-05,2,1
83,2.7827951271319762e-05,0.20000000298023224,Rottweiler,2.6881164103542687e-06,3.2176714739762247e-05,6.000466601108201e-05,3,1
7,3.495966666378081e-06,0.20000000298023224,toy terrier,2.5374622509843903e-06,1.835904004110489e-05,2.185500670748297e-05,4,1
48,0.49619540572166443,0.20000000298023224,Scotch terrier,0.999661922454834,0.464930921792984,0.9611263275146484,0,2
41,0.0024825697764754295,0.20000000298023224,cairn,0.00015586057270411402,0.014080903492867947,0.016563473269343376,1,2
100,0.08202999830245972,0.20000000298023224,affenpinscher,0.00012377135863061994,0.510848343372345,0.5928783416748047,2,2
46,6.0072794440202415e-05,0.20000000298023224,giant schnauzer,3.802337232627906e-05,7.304525934159756e-05,0.00013311805378179997,3,2
72,0.0027169613167643547,0.20000000298023224,schipperke,6.713866696372861e-06,0.008201459422707558,0.010918420739471912,4,2
45,0.04967385530471802,0.20000000298023224,miniature schnauzer,0.9894606471061707,0.9304436445236206,0.9801174998283386,0,3
47,0.00304446741938591,0.20000000298023224,standard schnauzer,0.009551371447741985,0.01069871336221695,0.01374318078160286,1,3
